mMed,rinv,yukawa,mDark,obs_lim,expected_m2sigma,expected_m1sigma,expected,expected_p1sigma,expected_p2sigma
900,0p3,3,20,0.0026940492518358,0.0018798828823491,0.0027862549759447,0.0042968750931322,0.0073113199323415,0.0109081007540225
1000,0p3,3,20,0.0014062560501084,0.0023925781715661,0.0035461424849927,0.0054687499068677,0.0089565375819802,0.0142318159341812
1500,0p3,3,20,0.0063168645361458,0.0072097778320312,0.011223554611206,0.01708984375,0.0318039469420909,0.0516526587307453
2000,0p3,3,20,0.0206604372872643,0.0175094604492187,0.0257575511932373,0.04150390625,0.0692972093820571,0.1133136227726936
2500,0p3,3,20,0.0477793408331812,0.0262470245361328,0.0402301102876663,0.06787109375,0.1192731410264968,0.2057055085897445
3000,0p3,3,20,0.2227001752329422,0.0805244445800781,0.1230040788650512,0.2041015625,0.3456605672836303,0.5669355392456055
3500,0p3,3,20,0.4183923696528354,0.131591796875,0.2045211791992187,0.34375,0.6040884256362915,1.028059005737305
4000,0p3,3,20,0.9609435476671652,0.244384765625,0.3880510330200195,0.6875,1.2629849910736084,2.0841214656829834
500,0p3,3p5,20,0.0005056977001795196,0.00037811280344612896,0.0005370283033698797,0.0008203125325962901,0.0012715450720861554,0.0019164367113262415
600,0p3,3p5,20,0.0007831187145054708,0.0005313277360983193,0.0007826648652553558,0.0012158203171566129,0.0019258050015196204,0.0029360149055719376
700,0p3,3p5,20,0.0007842248739206327,0.0006489944644272327,0.0009596550953574479,0.0015527344075962901,0.0025739632546901703,0.004109215456992388
800,0p3,3p5,20,0.0004968661335862595,0.0005724906804971397,0.0007598854717798531,0.0010620116954669356,0.0015170832630246878,0.002125766361132264
900,0p3,3p5,20,0.0014063780002744,0.00048828125,0.0015869140625,0.0019531249999999,0.0034478909801691,0.0056277583353221
1000,0p3,3p5,20,0.0016311487670818,0.0010253905784338,0.0014526366721838,0.0027343749534338,0.0044782687909901,0.0068761226721107
1500,0p3,3p5,20,0.003160967240055,0.002777099609375,0.0050086975097656,0.00634765625,0.0124201430007815,0.0188721604645252
2000,0p3,3p5,20,0.0090656625297538,0.0121002197265625,0.0179030895233154,0.02978515625,0.0511556416749954,0.0828737393021583
2500,0p3,3p5,20,0.0372070455913063,0.0253868103027343,0.0372327864170074,0.05908203125,0.0948785617947578,0.145879790186882
